"species" "CH_status" "THALLUS_type1" "THALLUS_type2" "THALLUS_type3" "THALLUS_type4" "THA_Morpho_type1" "THA_Morpho_type2" "THA_Morpho_type3" "THA_Morpho_type4" "THA_Morpho_type5" "THA_Morpho_type6" "THA_Morpho_type7" "THA_Morpho_type8" "THA_Morpho_type9" "THA_Morpho_type10" "THA_Morpho_type11" "THA_Morpho_type12" "THA_Morpho_type13" "THA_Morpho_type14" "THA_Growth1" "THA_Growth2" "THA_Growth3" "THA_Growth4" "THA_Growth5" "THA_Growth6" "THA_Growth7" "THA_Growth8" "THA_Growth9" "THA_Growth10" "THA_Growth11" "THA_Growth12" "THA_Pruinosity" "THA_Cilia" "THA_UpCol_black" "THA_UpCol_brown" "THA_UpCol_white" "THA_UpCol_yellow" "THA_UpCol_grey" "THA_UpCol_red" "THA_UpCol_green" "THA_UpCol_blue" "THA_LowCol_black" "THA_LowCol_brown" "THA_LowCol_white" "THA_LowCol_yellow" "THA_LowCol_grey" "THA_LowCol_red" "THA_LowCol_green" "THA_LowCol_blue" "THA_Rhizines" "THA_Rhizines_type1" "THA_Rhizines_type2" "THA_Rhizines_type3" "THA_Rhizines_type4" "THA_Rhizines_type5" "THA_Rhizines_type6" "THA_Rhizines_type7" "THA_Isidia" "THA_Soredia" "Ascomata" "ASCOMA_type1" "ASCOMA_type2" "ASCOMA_type3" "ASCM_link1" "ASCM_link2" "ASCM_link3" "ASCM_link4" "ASCM_link5" "ASCM_Paraphyses" "ASCOPORES_mean" "ASCP_PigmentCol1" "ASCP_PigmentCol2" "ASCP_PigmentCol3" "ASCP_PigmentCol4" "ASCP_PigmentCol5" "ASCP_PigmentCol6" "ASCP_PigmentCol7" "ASCP_PigmentCol8" "ASCP_PigmentCol9" "ASCP_PigmentCol10" "ASCP_PigmentCol11" "ASCP_PigmentCol12" "ASCP_Septa" "ASCP_Septa_type1" "ASCP_Septa_type2" "ASCP_TransSepta_lower" "ASCP_TransSepta_mean" "ASCP_TransSepta_upper" "ASCP_Perispore_type1" "ASCP_Perispore_type2" "ASCP_Perispore_type3" "ASCP_Perispore_type4" "ASCP_Perispore_type5" "PPhotobiont" "SPhotobiont" "PPhotobiont_type1" "PPhotobiont_type2" "PPhotobiont_type3" "Fos" "Ter" "Aqu" "Arb" "Aer" "Life_type1" "Life_type2" "Life_type3" "Life_type4" "Life_type5" "Substrate" "Substrate_type1" "Substrate_type2" "Substrate_type3" "Substrate_type4" "Substrate_type5" "Substrate_type6" "Substrate_type7" "Substrate_type8" "Substrate_type9" "EIV_Light" "EIV_Temp" "EIV_Cont" "EIV_Moisture" "EIV_pH" "EIV_Eutroph" "RangeSize_km2" "IUCN_status" "gbif_accepted" "gbif_rank" "gbif_genus" "gbif_family" "gbif_order" "gbif_class" "gbif_phylum" "gbif_IUCN"
"Acarospora gallica" NA 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 "epruinose" NA 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 "absent, present" NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 1 0 0 0 0 "present" NA 1 0 0 0 0 0 0 0 0 0 0 0 "absent" NA NA NA NA NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 1 1 0 NA NA NA NA NA NA NA NA "Acarospora gallica H.Magn." "SPECIES" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Acarospora glaucocarpa" "NE" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 0 0 0 0 0 0 0 0 "epruinose, pruinose" NA 0 1 0 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 NA NA NA NA NA "present" NA 1 0 0 0 0 0 0 0 0 0 0 0 "absent" NA NA NA NA NA 1 0 0 0 0 "present" "absent" 0 1 0 0 1 0 0 0 0 0 0 1 0 "G" 0 0 0 0 0 0 0 0 1 0.666666666666667 1 5 1 0.888888888888889 0.5 NA NA "Acarospora glaucocarpa (Ach.) Arnold" "SPECIES" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Acarospora heufleriana" NA 0 0 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 0 0 1 0 0 0 0 0 "epruinose, pruinose" NA 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 1 0 0 0 0 "present" 100 1 0 0 0 0 0 0 0 0 0 0 0 "absent" NA NA NA NA NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 1 1 0 NA NA NA NA NA NA NA NA "Acarospora heufleriana Körb." "SPECIES" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Acarospora hilaris" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 NA NA NA NA NA "present" NA 1 0 0 0 0 0 0 0 0 0 0 0 "absent" NA NA NA NA NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA "Acarospora hilaris (Dufour) Hue" "SPECIES" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Acarospora hospitans" NA 0 0 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 0 0 0 0 0 0 0 0 "epruinose" NA 0 0 0 1 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 NA NA NA NA NA "present" NA 1 0 0 0 0 0 0 0 0 0 0 0 "absent" NA NA NA NA NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 0 1 0 NA NA NA NA NA NA NA NA "Acarospora hospitans H.Magn." "SPECIES" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Acarospora impressula" NA 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "epruinose" NA 1 1 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 NA NA NA NA NA "present" NA 1 0 0 0 0 0 0 0 0 0 0 0 "absent" NA NA NA NA NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 0 1 0 NA NA NA NA NA NA NA NA "Acarospora impressula Th.Fr." "SPECIES" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Acarospora insolata" NA 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "epruinose" NA 0 1 0 0 1 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 NA NA NA NA NA "present" NA 1 0 0 0 0 0 0 0 0 0 0 0 "absent" NA NA NA NA NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 1 NA 0 0 0 0 0 0 0 1 0 NA NA NA NA NA NA NA NA "Acarospora insolata H.Magn." "SPECIES" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Acarospora macrospora" "NE" 0 0 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 0 0 0 0 0 0 0 0 NA NA 0 1 1 0 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 1 0 0 0 0 "present" NA 1 0 0 0 0 0 0 0 0 0 0 0 "absent" NA NA NA NA NA 1 0 0 0 0 "present" "absent" 0 1 0 0 1 0 0 0 0 0 0 1 0 "G" 0 0 0 0 0 0 0 0 1 0.666666666666667 1 6 1 0.888888888888889 0.5 NA NA "Acarospora macrospora A.Massal. ex Bagl." "SPECIES" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Acarospora nitrophila" NA NA NA NA NA 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "pruinose" NA 0 1 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 NA NA NA NA NA "present" NA 1 0 0 0 0 0 0 0 0 0 0 0 "absent" NA NA NA NA NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 0 1 0 NA NA NA NA NA NA NA NA "Acarospora nitrophila H.Magn." "SPECIES" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Acarospora nodulosa" "RE" 0 0 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 0 1 0 0 0 0 0 "pruinose" NA 0 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 1 1 1 0 0 "present" 100 1 0 0 0 0 0 0 0 0 0 0 0 "absent" NA NA NA NA NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 1 NA 0 0 1 0 0 1 0 0 0 NA NA NA NA NA NA NA NA "Acarospora nodulosa (Dufour) Hue" "SPECIES" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Acarospora oligospora" NA 0 0 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 0 0 0 0 0 0 0 0 "epruinose" NA 0 1 0 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 NA NA NA NA NA "present" NA 1 0 0 0 0 0 0 0 0 0 0 0 "absent" NA NA NA NA NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 0 1 0 NA NA NA NA NA NA NA NA "Acarospora oligospora (Nyl.) Arnold" "SPECIES" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Acarospora paupera" NA 0 0 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 0 0 0 0 0 0 0 0 NA NA 0 1 0 0 1 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 NA NA NA NA NA "present" NA 1 0 0 0 0 0 0 0 0 0 0 0 "absent" NA NA NA NA NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 0 1 0 NA NA NA NA NA NA NA NA "Acarospora paupera H.Magn." "SPECIES" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Acarospora peliscypha" NA NA NA NA NA 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "epruinose" NA 0 1 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 0 1 1 0 0 "present" NA 1 0 0 0 0 0 0 0 0 0 0 0 "absent" NA NA NA NA NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 0 1 0 NA NA NA NA NA NA NA NA "Acarospora squamulosa (Schrad.) Trevis." "SPECIES" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Acarospora pyrenopsoides" NA 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "epruinose" NA 1 1 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 1 0 0 0 0 "present" NA 1 0 0 0 0 0 0 0 0 0 0 0 "absent" NA NA NA NA NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 0 1 0 NA NA NA NA NA NA NA NA "Acarospora pyrenopsoides H.Magn." "SPECIES" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Acarospora schleicheri" "VU" 0 0 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 0 1 0 0 0 0 0 "epruinose, pruinose" NA 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 NA NA NA NA NA "present" 100 1 0 0 0 0 0 0 0 0 0 0 0 "absent" NA NA NA NA NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 1 0 0 0 NA NA NA NA NA NA NA NA "Acarospora schleicheri (Ach.) A.Massal." "SPECIES" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Acarospora sinopica" "NE" 0 0 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 1 0 0 0 0 0 0 0 NA NA 0 1 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 1 0 0 0 0 "present" NA 1 0 0 0 0 0 0 0 0 0 0 0 "absent" NA NA NA NA NA 1 0 0 0 0 "present" "absent" 0 1 0 0 1 0 0 0 0 0 0 1 0 "G" 0 0 0 0 0 0 0 1 0 0.666666666666667 0.333333333333333 4 0.555555555555556 0.111111111111111 0.125 NA NA "Acarospora sinopica (Wahlenb.) Körb." "SPECIES" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Acarospora subrufula" NA 0 0 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 0 0 0 0 0 0 0 0 "epruinose" NA 0 1 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 1 1 0 0 0 "present" NA 1 0 0 0 0 0 0 0 0 0 0 0 "absent" NA NA NA NA NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 1 1 0 NA NA NA NA NA NA NA NA "Acarospora subrufula (Nyl.) H.Olivier" "SPECIES" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Acarospora tongleti" NA 0 0 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 0 0 0 0 0 0 0 0 "epruinose" NA 0 1 0 1 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 1 0 0 0 0 "present" NA 1 0 0 0 0 0 0 0 0 0 0 0 "absent" NA NA NA NA NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 0 1 0 NA NA NA NA NA NA NA NA "Acarospora tongleti Hue" "SPECIES" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Acarospora umbilicata" NA 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "epruinose, pruinose" NA 1 1 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "absent, present" 1 0 0 NA NA NA NA NA "present" NA 1 0 0 0 0 0 0 0 0 0 0 0 "absent" NA NA NA NA NA 1 0 0 0 0 "present" "absent" 0 1 0 NA 1 0 0 0 0 0 0 1 0 NA 0 0 0 0 0 0 0 1 0 NA NA NA NA NA NA NA NA "Acarospora umbilicata Bagl." "SPECIES" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
