"species" "Genus" "Family" "Order" "BodyLength_mm" "BodyLength_male" "BodyLength_female" "BodyLength_min" "BodyLength_max" "Litter_size" "Development_total_d" "Development_egg_mean_d" "Development_larva_mean_d" "Development_pupa_mean_d" "Longevity_y" "Semivoltine" "Univoltine" "Bivoltine" "Multivoltine" "Overwintering_egg" "Overwintering_larva" "Overwintering_pupa" "Overwintering_imago" "Activity" "Larva_Diet" "Imago_Diet" "Larva_Diet_range" "Imago_Diet_range" "Diet_Carniv" "Diet_Scav" "Diet_Fungi" "Diet_Root" "Diet_Seed" "Diet_Leaf" "Diet_Flower" "Diet_Stem" "Diet_Grass" "Diet_Woody" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "EIV_Light" "EIV_Temp" "EIV_Moisture" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Dispersal_ability" "Dispersal_km" "RangeSize_km2" "IUCN_status" "Riparian_sp" "Meadow_sp" "Flight_capacity" "VegForm1" "VegForm2" "VegForm3" "VegForm4" "VegForm5" "VegForm6" "VegForm7" "VegForm8" "VegForm9" "Biotope_range" "gbif_accepted" "gbif_rank" "gbif_genus" "gbif_family" "gbif_order" "gbif_class" "gbif_phylum" "gbif_IUCN"
"Abaxitrella hieroglyphica" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 10396.2053963221 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Abaxitrella hieroglyphica Gorochov, 2002" "SPECIES" "Abaxitrella" "Gryllidae" "Orthoptera" "Insecta" "Arthropoda" "LEAST_CONCERN"
"Abelona michaelisi" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 19558.6653498892 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Abelona michaelisi (Griffini, 1908)" "SPECIES" "Abelona" "Gryllacrididae" "Orthoptera" "Insecta" "Arthropoda" "VULNERABLE"
"Acanthoplus discoidalis" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2798114.22175348 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Acanthoplus discoidalis (Walker, 1869)" "SPECIES" "Acanthoplus" "Tettigoniidae" "Orthoptera" "Insecta" "Arthropoda" "LEAST_CONCERN"
"Acanthoplus longipes" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 576793.801968056 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Acanthoplus longipes (Charpentier, 1845)" "SPECIES" "Acanthoplus" "Tettigoniidae" "Orthoptera" "Insecta" "Arthropoda" "LEAST_CONCERN"
"Acanthoplus speiseri" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 538598.582506303 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Acanthoplus speiseri Brancsik, 1895" "SPECIES" "Acanthoplus" "Tettigoniidae" "Orthoptera" "Insecta" "Arthropoda" "LEAST_CONCERN"
"Acanthoproctus cervinus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 956917.65979156 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Acanthoproctus cervinus (Haan, 1843)" "SPECIES" "Acanthoproctus" "Tettigoniidae" "Orthoptera" "Insecta" "Arthropoda" "LEAST_CONCERN"
"Acanthoproctus diadematus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 80692.2863157861 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Acanthoproctus diadematus (Stål, 1858)" "SPECIES" "Acanthoproctus" "Tettigoniidae" "Orthoptera" "Insecta" "Arthropoda" "LEAST_CONCERN"
"Acanthoproctus vittatus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 205033.034664321 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Acanthoproctus vittatus (Walker, 1869)" "SPECIES" "Acanthoproctus" "Tettigoniidae" "Orthoptera" "Insecta" "Arthropoda" "LEAST_CONCERN"
"Acanthothericles bicoloripes" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 68.0155845014907 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Acanthothericles bicoloripes Descamps, 1977" "SPECIES" "Acanthothericles" "Thericleidae" "Orthoptera" "Insecta" "Arthropoda" "CRITICALLY_ENDANGERED"
"Acanthoxia aculeus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 104.502251570894 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Acanthoxia aculeus Grunshaw, 1996" "SPECIES" "Acanthoxia" "Acrididae" "Orthoptera" "Insecta" "Arthropoda" "ENDANGERED"
